date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:33	67/67	---MC-	200	added ('OK')	text/plain	date:Wed,%2026%20Oct%202022%2011:10:33%20GMT	http://dawoodahmed.com/robots.txt		(from )
16:40:39	363153/363153	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2011:10:36%20GMT	http://dawoodahmed.com/?gclid=Cj0KCQjwteOaBhDuARIsADBqReh8lDeFGSakK3jCZkxsI9m4Pcf4-AMgB1ea9z6Q4o9GX3xmMFw8Bb4aAuPoEALw_wcB	C:/My%20Web%20Sites/eight/dawoodahmed.com/index8260.html	(from )
16:40:40	1862/1862	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Oct%202016%2014:30:29%20GMT	http://dawoodahmed.com/wp-content/uploads/2016/10/favicon-16x16.png	C:/My%20Web%20Sites/eight/dawoodahmed.com/wp-content/uploads/2016/10/favicon-16x16.png	(from http://dawoodahmed.com/?gclid=Cj0KCQjwteOaBhDuARIsADBqReh8lDeFGSakK3jCZkxsI9m4Pcf4-AMgB1ea9z6Q4o9GX3xmMFw8Bb4aAuPoEALw_wcB)
16:40:41	29295/29295	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Aug%202019%2016:15:00%20GMT	http://dawoodahmed.com/wp-includes/css/dist/block-library/style.min.css?ver=5.2.2	C:/My%20Web%20Sites/eight/dawoodahmed.com/wp-includes/css/dist/block-library/style.minbb49.css	(from http://dawoodahmed.com/?gclid=Cj0KCQjwteOaBhDuARIsADBqReh8lDeFGSakK3jCZkxsI9m4Pcf4-AMgB1ea9z6Q4o9GX3xmMFw8Bb4aAuPoEALw_wcB)
16:40:41	816/816	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2030%20Sep%202022%2010:30:11%20GMT	http://dawoodahmed.com/feed/	C:/My%20Web%20Sites/eight/dawoodahmed.com/feed/index.html	(from http://dawoodahmed.com/?gclid=Cj0KCQjwteOaBhDuARIsADBqReh8lDeFGSakK3jCZkxsI9m4Pcf4-AMgB1ea9z6Q4o9GX3xmMFw8Bb4aAuPoEALw_wcB)
16:40:42	55183/55183	---M--	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2001:33:50%20GMT	http://dawoodahmed.com/wp-content/plugins/automotive/css/all.min.css?ver=16.5	C:/My%20Web%20Sites/eight/dawoodahmed.com/wp-content/plugins/automotive/css/all.min7e00.css	(from http://dawoodahmed.com/?gclid=Cj0KCQjwteOaBhDuARIsADBqReh8lDeFGSakK3jCZkxsI9m4Pcf4-AMgB1ea9z6Q4o9GX3xmMFw8Bb4aAuPoEALw_wcB)
16:40:43	26625/26625	---M--	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2001:33:50%20GMT	http://dawoodahmed.com/wp-content/plugins/automotive/css/v4-shims.min.css?ver=16.5	C:/My%20Web%20Sites/eight/dawoodahmed.com/wp-content/plugins/automotive/css/v4-shims.min7e00.css	(from http://dawoodahmed.com/?gclid=Cj0KCQjwteOaBhDuARIsADBqReh8lDeFGSakK3jCZkxsI9m4Pcf4-AMgB1ea9z6Q4o9GX3xmMFw8Bb4aAuPoEALw_wcB)
16:40:44	26606/26606	---M--	200	added ('OK')	text/css	date:Fri,%2027%20Mar%202020%2021:07:12%20GMT	http://dawoodahmed.com/wp-content/plugins/automotive/css/jquery-ui.css?ver=16.5	C:/My%20Web%20Sites/eight/dawoodahmed.com/wp-content/plugins/automotive/css/jquery-ui7e00.css	(from http://dawoodahmed.com/?gclid=Cj0KCQjwteOaBhDuARIsADBqReh8lDeFGSakK3jCZkxsI9m4Pcf4-AMgB1ea9z6Q4o9GX3xmMFw8Bb4aAuPoEALw_wcB)
16:40:44	710/710	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2026%20Oct%202022%2011:10:44%20GMT	http://dawoodahmed.com/comments/feed/	C:/My%20Web%20Sites/eight/dawoodahmed.com/comments/feed/index.html	(from http://dawoodahmed.com/?gclid=Cj0KCQjwteOaBhDuARIsADBqReh8lDeFGSakK3jCZkxsI9m4Pcf4-AMgB1ea9z6Q4o9GX3xmMFw8Bb4aAuPoEALw_wcB)
16:40:48	159476/159476	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Aug%202020%2023:35:30%20GMT	http://dawoodahmed.com/wp-content/plugins/automotive/css/bootstrap.min.css?ver=16.5	C:/My%20Web%20Sites/eight/dawoodahmed.com/wp-content/plugins/automotive/css/bootstrap.min7e00.css	(from http://dawoodahmed.com/?gclid=Cj0KCQjwteOaBhDuARIsADBqReh8lDeFGSakK3jCZkxsI9m4Pcf4-AMgB1ea9z6Q4o9GX3xmMFw8Bb4aAuPoEALw_wcB)
